Questions,Answers
"I have anger issues that have worsened over the years because I’ve never dealt with my emotions. My anger has never been expressed physically until the past year. My girlfriend has had to endure these episodes. I love her, and I think I’m about to lose her, if I already haven’t. I throw things at her when I’m angry, and sometimes I hit her. I may not hit her enough to cause harm, but I still physically lash out at her. I don’t want to lose her, and I don’t want the situation to worsen. I am a lesbian in my early 30s, and I have been dealing with anger since my childhood. I'm ready to change. I need help now. I'm about to explode.","Hi Baton Rouge,I'm glad you're reaching out. The first step here is that you are taking some responsibility for your behaviours. I do hear you minimizing your actions (you say you don't ""hit her enough to cause harm""?), but you're headed in the right direction. I hope that in your pursuit of treatment you learn that the harm you're causing isn't just superficial bruising. The effects of using aggression and anger to control a person are deep and lasting wounds. Please seek treatment for yourself immediately.You say you love your girlfriend? Do you love her enough to leave the relationship while you address your issues? Are you brave enough to not lean on this relationship while you learn how to create a safe place for a partner?You have dangerous habits because you don't know how to manage your own emotional pain. You can unlearn this; and it doesn't mean you're a bad person. Sometimes, however, the relationship in which you have done the hurting is best ended, for both of your sakes, because too much damage has been done.I know you don't want to lose her, but you don't own her, and you don't have the right to trap her in this because you're afraid of being alone. Right now, she needs some space to figure out what's best for her and the freedom to make whatever decision she wants. This is potentially the first step to learning real respect; honouring her need for safety above your need for comfort. I wish you well."
"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything. I’m always there when he needs my help. He tells me although I help him doesn’t mean that I am a good person. He always discredits me as a woman and it’s hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do.","That sounds like a very hurtful situation. Unfortunately, without a batterers intervention course or a desire to change, the abuse cycle is unlikely to stop. I do not recommend that you try to leave on your own due that being the most dangerous time when in an abusive relationship. As an abuser, his goal is to control you whether it's through mental or verbal means. I recommend that you contact a domestic violence shelter in your area. I have worked closely with Harbor House of Central Florida and know they provide housing, transportation, and any other needed resources to women leaving an abusive relationship. There is help out there and you are not alone. If you need any additional resources in your area, please don't hesitate to contact me."
"I have a child with my baby mother. She works I take care of our young son. She says she is not cheating I have not found anything but she always putting me down, telling me to get out and telling me she doesn't love me, but then the next day after our fight she says she does. I'm having a hard time because before our child she said she was raped by a family member but she never went to the hospital or the cops. Now me and my family don't talk. She's always telling me I'm annoying and just belittles me. Nothing I do is right. She says I work you watch the baby. On her days off she never cooks or cleans. I have no friends or family and a couple months ago she was confiding to some guy, but says he's not any thing to her. What do I do? I don't want to leave.","It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave her. Is it because of the child? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for you or your child. So if the abuse continues, it would be more beneficial for you and your child to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging. It seems as though you are very unhappy and undervalued in this relationship. Although your question revealed just a short bit of information, I didn't read about any positives in the relationship. Sometimes it's extremely hard to leave a relationship even though you know that the relationship itself is harmful for you. However, with time and focus you can do it. Each day will get a little easier and you have to trust yourself that you are making the right situation for you and your child.However, if you really feel that you want to stay in the relationship, you have to be upfront with her. You need to tell her exactly how you feel and give her specific examples of how she is hurting you. This gives her a chance to render the situation. If after this there is no improvement, I suggest that you start reconsidering your decision to stay.I also think it would be valuable for you to start engaging in things outside of the home that make you happy. Are there any hobbies you enjoy? Are there any groups in the area that you can join such as playgroups that will allow you to engage with other parents? Start looking into these options and finding an avenue for you to do something for your own benefit.It is certainly not healthy for you to isolate yourself from friends and family. You need to have additional support networks besides the one with your girlfriend, especially since this has not been a healthy environment lately.Thank you for reaching out. I wish you the best of luck with your relationship."
"I’ve known my boyfriend for several years. We were friends for a long time. In 2013 we started a relationship, and he even asked me to move in with him since I lived out of state. I planned to move in with him in 2014 after I finished school and he found a job. However, during this time we had a few arguments and broke up with each other for a short period of time. We decided later to make it work. Shortly after, I found out that I was pregnant. I wanted to tell him during his next visit. However, he never came to see me and instead asked me for money. After I gave him money, he quit answering my phone calls and texts.    Soon after, I experienced a miscarriage. I texted him about what had happened, and he didn’t seem to care. I was extremely hurt by this. I still decided to move back as I had originally planned. He helped me with the move and replaced the money I had lent him. During this time, I asked if he wanted to be in this relationship because I needed to know. Although he says he did, I hardly ever see him. He never got a job, which was in the original plan.    After that, we both started seeing other people for a short amount of time but once again got back together. Once we got back together, I cut all ties with the former relationship I had been in. I thought he had too. But I found out that he did not attempt to do as I did and was still talking with another woman. In fact, he had even sent inappropriate pictures to her. When I confronted him about this, he wasn’t apologetic. He said that he only did it to get even with me and was actually mad at me for looking through his phone. He even closed his car window on my finger and tried to throw me out of his car. I don’t know what to do.","There are plenty of red flags that you have been presented with:Several breakups Not holding up his end of the bargain regarding workLack of empathy for your miscarriageLying about his involvement with another womanPhysical violence, which is of most concern. This seems to be a very unhealthy relationship. In my experience, relationships such as these rarely become positive ones. Violence is never okay and regardless of his reasoning (you looking through his phone), it is indefensible. You have to look at these red flags and ask yourself, “Is this really someone I want to marry? Is he an asset to my life?” I think you’ll realize he is not.Best of luck to you and please know that you deserve someone who treats you with kindness, dignity and respect."
Now I have anger and trust issues. How can I treat this and fix myself?,"I will assume that for whatever reason, you either do not want to or are not able to seek counseling for this. However, I highly urge you to do so because long-term childhood abuse does have negative consequences for your life as an adult, as it seems you are already aware. There are confidential and free crisis hotlines that you can call that deal with sexual abuse. Some/most also offer free counseling services in local areas. That would be a good place to start looking, especially if cost of counseling is an issue.The important thing to know is that what happened was not your fault and that you deserve to live a happy life free of the past. Having anger and trust issues after something like this is a perfectly normal reaction to what happened to you. Angry? Yes! At your brother for what he did, at your parents for not protecting you. Having trouble trusting? Of course! The very people who were supposed to love and protect you hurt you instead. Two books that might help you are Codependent No More and Boundaries: Where You End and I Begin."
I need to speak to someone about sexual addiction and binge eating immediately.,"There is an organization dedicated to helping individuals find affordable counseling.  It is called Open Path Collective.  There is a one time membership fee of $49 and it lasts for your lifetime.  You then have access to local counselors/therapists who will see you for an extremely reduced rate, anywhere from $30 - $60.   https://openpathcollective.org/"
"I've been bulimic for about 6 years now. I'm in my early 20s. I am about to start back to school to become an RN, and I really need to get better once and for all.    I lose control of myself and become angry and anxious and just eat and purge. Over and over. Can someone please point me in the right direction for help?","Eating disorders usually result from a sense of insecurity about who the person is, whether they are good enough compared with anyone else, and whether the way they person lives is effective.If you have a style you're already happy with to reflect on these sorts of topics, keep following your own logic with the aim to free yourself, which usually takes place gradually, from these sort of self-doubts.The other approach would be to find an unperson or an online discussion group where you'd be able to offer and receive the support from other people who live with a similar problem.Good luck in your studies!"
"I have a problem with binge eating, especially during times of stress. I binge eat and feel so overwhelmed with shame and disappointment that I end up going to the gym and trying to exercise the calories off. I am in my late 20s, and I have been dealing with this since I was a teenager. Are there any coping mechanisms I can use to break this cycle?","Hello,This question describes a very typical setup of what is called the  Binge, Repent, Repeat cycle. This means that typically after you binge, you experience emotions as you described ""shame and disappointment"" and then because of these emotions you ""repent"" (i.e. vow to never binge again, promise to ""do better,"" go to the gym, etc.) and then ultimately end up bingeing again. There are many coping mechanisms for binge eating and one of the best is actually attempting to NORMALIZE eating. Meaning you need to attempt to eat normally, eating appropriately portioned meals 3 times a day, with snacks in between. IF you binge, then it may be helpful to remind yourself that when you attempt to compensate for your bingeing behaviors, and you end up feeling restricted from over exercising or undereating, then this actually leads to a binge again. Thus, reverting you back to the cycle. If you binge, it will be helpful to try and get back on a normal schedule of eating instead of trying to compensate for the binge. Although it may feel counterproductive, getting back on a normal eating schedule will prevent you from entering into the restrictive cycle. It can also be helpful to remind yourself that the binge has already occurred, it is in the past and the goal is to move forward without focusing on the past. Focus on what you can do differently next time. What emotions or situations led up to the binge? What can you to do prevent or change the circumstances that led to the binge, or the way that you handled the situation? Lastly, if you're struggling with ""normalizing"" eating, it can be helpful to work with a professional that can provide counseling and coaching to help you learn how to eating normally, mindfully and without feeling the guilt and other harmful emotions sometimes associated with disordered eating. I would be more than happy to assist you if you ever have any questions or want to reach out to somebody. You can contact me via my website: http://www.maddenwellnessky.com/"
"I have no self control over food. Most people stop when they've had enough, but I keep eating for the pleasure of it. Especially with sweets - I'm never done eating dessert.","Hello! I'm so glad you decided to write in today. This is such a great question and I'm sure many others will relate to exactly what you're describing. There are a few different ways we can look at in understanding your concern. First, I think it's important to understand food is just food. Food is meant to nourish our bodies, provide us with energy and yes, sometimes reserved for special occasions and celebrations. But in many cultures, we place a LOT of emphasis on food. We have food at every gathering and every celebration. What's more people have come to almost EXPECT food to be present at any and every get-together. And if it's not? Well, then forget about it! I see this time and time again with my clients. Donuts appear in the office, and it's almost like donuts have never been there before! Must eat one (or two)! However, we need to remind ourselves that this occurrence, or similar ones, will not be the last time we can enjoy this particular food. It is likely the office donuts have happened before, and they will be there again on another day. During these moments, I like to have my clients employ a Stop-and-Think method. Stop-and-Think about your goals before you eat. Is this donut getting you where you want to be? Also, I have my clients ask themselves how special is this donut? If the donut really is a special donut (from the best bakery in town and you've never been there before) then now might be a time to have the donut. But if not, it would be wise to pass and wait until that ""special"" donut. Another aspect we need to remember about food, is to think about what we're getting from overindulging or overeating. Are you trying to drown out other emotions? Are you trying to feel better and the food gives you that feeling for a brief moment? What ELSE is going on? This can be determined by utilizing what we describe as a Thought Record. A Thought Record involves tracking and identifying thoughts and feelings associated with food triggers. By targeting the emotions, we can then determine where they're coming from, as well as how to decipher them. A therapist can also help you with understanding your emotions related to food and will be helpful in assisting you with the Thought Record.The most important thing to remember is that ""food addiction"" can be a real problem for a lot of people. If food is taking over your life and you are preoccupied and overwhelmed with knowing where to start, please seek out help. Binge eating is the most common eating disorder and impacts the lives of thousands. There are lots of free resources and information on my website at www.maddenwellnessky.com. In addition, I offer individual coaching and counseling through my website and I would love to help!- Amber"
"My mother has Alzheimer's and she has become so nasty and mean to everyone and she always asks for unrealistic, silly or meaningless items. I get so frustrated and angry, but then I feel guilty because I know it probably isn’t her fault. How can I cope with feeling like this?","It is challenging to see one's parents age and to cope with the new demands.  Your mom means a lot to you, and that is why you get easily frustrated.  I'm guessing that it is not that she is making you do work or that her expectations are non-important to you because if that were the case, you would not feel any guilt.  Accepting the new stage will help you cope with the changes.  Take a deep breath every time you feel frustrated and think of the good times you shared with your mom before her getting Alzheimer's.  Remember that your mom as she was is no longer and that she has reverted to a more delicate phase.  Also, schedule time for yourself and do things that help you relax.  Caretaking of an elderly parent can take a toll on you, and it is essential to incorporate self-care.  Finally, look for an Alzheimer's support group in your area that will help you connect with other people going through the same thing.  You are a good daughter, and your mom is lucky to have you in her life.Sincerely, Mirella~Image and Likeness Counseling"
"My mother has Alzheimer's and I can see that she has lost some of her intellectual abilities. Even though I know this disease is not her fault, I’m still finding it difficult to separate my own feelings of disappointment and frustration when my mom seems to ignore my opinions and wishes, and seems","Good observation on your part, to distinguish that your feelings in relation to your mom are not necessarily connected to the way she handles her part of the relation toward you.Has your mom usually ignored your opinions and wishes in relating to you?If prior to the onset of Alzheimer's, she never examined her way of relating to you, and if both of you have never had an open conversation about your sense of feeling hurt by her attitudes and manner with you, then the relationship between you and your mom will change in ways other than rational dialogue.She may continue ignoring or overlooking your wishes because she's been stuck in this attitude for most of your life.The good news for you about this is realizing that who you are and your way of relating to your mom, has very little to do with the way she relates to you.This is a more profound disappointment because it shows that her disconnect from you has been for longer than when the Alzheimer's began.You can however, feel a little more free knowing that you're not deserving of being ignored."
"I have a mother who is still running my life even though I'm almost 30 years old. I want to move out and live my own life, but it feels like as long as I do what my mom wants our relationship is okay. It's never okay if I don't do what she wants.    I don't know how to start making my own decisions and not worry about whether it's right in her eyes. Would it help for me to talk to someone about this?","If the only way the relationship you have with your mother feels ""okay"" is when she is the only one who makes decisions concerning your life, then this only seems ok.In fact it is not okay for one person to be the authority for another person unless the one for whom this is being done, does not have their own ability to think for themselves.Separating your own wishes and way of handling life matters, from your mother's point of view, may be difficult.First, realize you need to get familiar with feeling at ease with the idea of deciding matters for yourself.You'll need practice until you feel comfortable.Unless, if you've been thinking through decisions you'd like to make and the idea of your mother's anger is the only point which stopped you, then you may almost instantly start living in a liberated way of running your own life.Basically, it is right and fair for you to have the chance to live your life the way you feel is best.   Be prepared that your mother may disagree with you and that her disagreement is not a reason itself to not do what you believe is in your best interest."
"I have known her for years. She was dating my brother-in-law when we met. My kids think of her as their aunt. On Halloween 2014, I lost my mom to cancer. My mom and dad were still married when she passed away. My friend was there for me through that and my own cancer diagnosis. She has been a very big part of both me and my kids’ life, but now last month, my dad told me that he really likes my friend and wants to marry her. She’s like a sister to me. My kids hate the idea.","Hi Lincoln,It can be very difficult for children who have lost a parent to then see their other parent moving forward with anyone, so I understand how this change is even more upsetting to you. And...your father and your friend have clearly established a friendship and fallen in love. Did you see this coming? I hope they didn't hide it from you. If they did, maybe this is the issue? It would be a legitimate one.But in the end, your father, and your friend, are adults who are free to fall in love with whomever they wish and hopefully they can count on the support of people who trust and love them. Could there be blessings here you haven't seen yet? It seems you love this person who is like a sister; could it be a good thing that her place in your life is more permanent?Ask yourself these questions... ""What is the worst part of this?"" ""What do I fear losing?"" ""What do I fear at all?"" ""What is the evidence that this will happen?"" The answers might surprise you. Your children will follow your lead. If you are supportive of their grandfather, they will follow suit. Hopefully you can grieve the change, know that your mother would likely want both of them to be happy, and embrace the blessings that come with having this woman close to you in a new way. I wish you the best."
"My mother takes care of niece whom my sister abandoned. She calls me every day complaining, but I don't want to hear it anymore.","It is understandable that it's very hard for you to hear daily complaints from your mother regarding the caregiving of your niece. You cannot change your mother's feelings and responsibilities, which could create feelings of frustration and helplessness. It must be equally hard for your mother to assume full responsibility for your niece at a time where your sister cannot take care of her. This type of responsibility usually produces an enormous amount of stress and pressure because your mother and niece would both need to adapt to this new relationship, living situation, and the feeling of being ""abandoned."" Not knowing the history of your relationship with your mother and how you respond to each other in times of need, it may be difficult to fight the right recommendation on how to deal with this situation. Nonetheless, it is not easy to have to face daily complaints and you may have to set a healthy balance between empathy and boundary setting with your mother and some personal boundaries for yourself. It is likely that your mother's ""complaints"" may be her desperate cry for help because she does not know how to cope with stress or how to ask for the right kind of support. In this case, you could calmly and respectfully tell her the next time you hear her complain, ""This must be very difficult for you because I hear the stress in your voice almost everyday. It's very hard for me to hear you feeling so overwhelmed. I feel helpless in this situation and would like to suggest that it might be helpful for you to seek some professional help and support to deal with such a big matter of importance."" When empathy and understanding is communicated, recipients are usually more open because they hear and feel the caring behind it and are more likely to seek additional help.After sharing this message of empathy and encouragement to seek help, the next step is to protect yourself by explaining to your mother where your limits are so that she understands what she can expect from you. This means that you can decide the kind of support or help you are willing to give your mother and/or niece that is within your ability to provide without feeling overwhelmed. This could involve inviting them to dinner occasionally, taking them out to see a movie or inviting your niece over to give your mother respite. You could then say to her if she complains again, ""I cannot change the way you feel in this situation and I encourage you to seek professional advice about that but what I could do is .........(explain what you could do to help).""www.PsychologyResource.ca"
"After I told them, they yelled at me.","Hello, and thank you for your question. I am very sorry that this was your experience with your family. I truly wish I could give you some things to say to them that would change their reaction, but unfortunately I can't do that. Their acceptance of you is a journey, just like coming out is a journey for you. Sometimes families initially respond this way, but after time they become more accepting and even supportive. Unfortunately, there is no way to know for sure if that will happen. So, here are a few things I would suggest:Surround yourself with people and things that remind you that you really are okay as you are. That won't take the place of your family's acceptance, and I won't even pretend that it would, but it may help during those days when it hurts the most. And that is really important. Patience is not something that many of us are really good at, but this type of situation sometimes forces you to have some. When families first learn something like this, they may go through a period of shock. And then sometimes even grieving. They may even be worried if they are of a particular religion where being bisexual is forbidden. These things can take time for them to reconcile, so it may just take some patience. If it is safe for you, try to talk to them, but if it becomes painful or hurtful then you have the right to walk away. I do recommend setting up some personal boundaries for yourself, and perhaps learn some assertiveness skills if you feel you struggle with them. The reason I feel that this is important is that people sometimes take a lot of abuse from family members and friends in times like you're describing. They may want to be accepted so much that they put themselves in hurtful positions over and over again hoping that their families will come around. They may, or they may not. And if they don't, you deserve to live a life free of abuse and to feel confident and assured of who you are. To be surrounded by folks who remind you of that. If you start seeing this pattern and you are struggling, chatting with counselor may be a great idea. I am bias probably, but I think chatting with a counselor is ALWAYS a good idea. :) Hope this helps. Be well. Be you. Robin J. Landwehr, DBH, LPC, NCC"
"I'm an adult, facing problems with my mom. She's way too controlling. She decides things for me, disregarding whatever I say. I tried explaining my side to her calmly, but she eventually gets angry and doesn't wish to listen to me regardless of how I speak to her.","The part of your life which is in your control is the way you handle what your mom does and the way she talks to you.It is possible the two of you have very different opinions on a great number of matters.Each person, including you, has the right to decide whether and how to respond to someone.Stick up for your own right to make decisions.If she doesn't accept your independent viewpoints, then this doesn't give away your right to have these views.Since she makes herself clear as to her unwillingness to listen to you, then consider this as an easy way to avoid directly speaking with her about what's on your mind.If she ever shows an interest in your opinions and you feel like discussing these with her, then feel free to make this choice."
"I'm a teenage gay girl, and I'm in love with a girl a few years older than me. She loves me too, but we're not physically together at the moment. I've been thinking about being transgender soon too, but my family doesn't accept me, so I honestly don't know what to do about that because I feel like I have to constantly hide the real me. It hurts so much to hide the real me. What can I do?","Many people do not accept the reality of gender beyond male and female.Obviously if your family doesn't accept your questioning status then this feels painful.All you really can do is continue your self-examination and know you're in a non-supportive family of doing so.To know the truth about your surroundings is much better than to not know, and also much better than pretending you are not in your current phase of gender expression questioning."
"My older brother (in his 60s) started dating a lady with Asperger's. She is hyper-sexual and flirty. She does not understand boundaries. They’ve been dating for a few months, and she's talking marriage. Another sibling and his wife have met her, and they have said she is never invited back. My brother always picks similar ladies. Do we speak honestly and risk losing a relationship?","If you and your brother are open w each other and respect each other’s opinions then there is little risk your relationship with him will end.If there already is strong animosity, mistrust, dislike between both of you then there is more chance he will not seriously consider your advice.For your own peace of mind, say whatever you feel must be said to him.The person you’ll need to live with is yourself so do what you believe is needed for you to feel good about saying what’s necessary.Even if he never follows through with your advice then you’ll still know you tried your best to advise."
"I'm a teenager, and I know the importance of my upcoming schooling. However, no matter how much I put in my best effort, my family thinks I have done zero effort in total. What can I do?","Your family's opinion is quite demoralizing.Unless you are lying to yourself or to them, then your best effort deserves appreciation and support from family.The family members may have reasons besides the actual outcome of your school work to be so blind to your investment of effort.Maybe they target onto you their unhappiness in some other area of their lives.  It is often easier to create false narratives if a person wants to avoid looking at themselves.Possibly too, the family people may have a twisted logic to their words, as though ignoring your effort is a way to force you to do more.If you feel the family people will listen to the way their words affect you, then definitely tell them.If not, then you are learning an early lesson on how not everyone is necessarily supportive of others, and how disappointing this feels."
"She constantly tells me what I am doing wrong. For once, I want her to be proud of me. It’s like no matter what I do, she does not have one nice word to say to me. She is always hateful towards me and always has been.","I'm sad and heartbroken on your behalf.I'm very sorry your mom has such negative views on you.Please know that there must be some reason in her personal history or relationship life which drives her to criticize you so strongly.The natural dynamic is for a mother to love and nurture her child.Unless at some earlier point in your relationship with her, you caused some massive harm to her which would justify her indirect dislike for you, then the best way for you is to find supportive and loving other people who will to some degree make up for the harshness you hear from her.Also, read online about others who have similar situations because there may be good guidance on keeping yourself emotionally safe from how she treats you."
"I’m a teenager. My entire family needs family therapy, and more than likely individual therapy. My parents refuse to take action, and I'm tired of it. Is there any way I can get out of this myself?","This sounds like a really tough situation.  As a teenager, you may be able to get counseling on your own (without needing your parents' consent) under some circumstances.  If your parents are refusing to consider counseling, you might want to try talking to your doctor or another trusted adult about finding some counseling resources - even without your parents' help."
"It's the way my mom said I was worth nothing, stupid, no point of being in school. I'm ""lazy little fat.""",There is nothing wrong with going to summer school.
My boyfriend and I have been arguing every night about the same thing. He also tells me that if I go visit my mother out of state he will be gone when I get back. He and my mother do not get along. What should I do?,"A relationship gets weaker, not stronger by threatening control of the other person.Start by telling your boyfriend to keep his remarks about you and the interests he is in which you two disagree, limited to these areas.Your relationship with your mother is between you and her.Regardless of how much he doesn't like her, to not respect your mother daughter relationship is unreasonable and disrespectful toward you.Threatening to take action against you by withdrawing himself from your relationship, is almost guaranteed to harm the good feelings between the two of you.Does you boyfriend dislike your mother for any reason having to do with her being a danger to you?Ask his reason since if he does this from concern for your emotional or physical safety, then this is good sentiment which is handled incorrectly, by a threat to you.What you should do is ask your boyfriend to not threaten you and to calmly talk about the topics you bring up here."
"I don’t love my sister. I would never wish her harm, but if I could, I would wish for us not to be related. Is this cruel? Why must blood mean we have to be friends? Am I being unreasonable and is there a way to fix this? I do care about her, like I do every human being, but I’d rather be with my friends than be with her at all. It’s not just a ""teenager phase."" I still love my mom and dad, and I’m very close to them. However, it’s my sister I don’t love or have ever really liked at all.","Not liking someone is not cruel - even if it is a family member. There is nothing wrong with you for not liking your sister. Some people are fortunate to have siblings that they get along with really well, other don't. We all have different personalities and we are not going to like everyone - even if they are related. In fact, sometimes being related makes it harder because you know all of each other's flaws and imperfections. With that being said - it may be worth it to make an effort to talk about the things that get in the way of having the kind of relationship that you might ideally want with your sister. Sometimes it is hard to like someone if we have a lot of old frustration and resentment and being able to talk about it in a constructive and kind way can lead to more understanding and respect, and sometimes actually liking each other."
"My wife and mother are having tense disagreements. In the past, they’ve had minor differences. For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy.
 However, it’s intensified lately. I think the cause is my wife talked back to her once. Now, any little disagreement is magnified, leading to major disagreements. What can I do?","One choice is for you and your wife to decide together what are reasonable ways and expectations to have of your mother.From what you write it sounds like your wife and you have differences as to what is the proper and right way to talk with your mother.Once the both of you agree on overall philosophy and some specific details for examples, then ask your mother to make time for all three of you to discuss together the expectations and standards you and your wife would like to see happen.This is only the first step since it is possible and likely that at least on a few points, your mother will disagree and have different views.These need to be discussed and integrated into an overall plan which all three of you are happy to live with."
For the past week or so me and my boyfriend have been fighting. He has been making a lot of bad choices and he is currently hospitalized. I'm barely eating or sleeping because I'm constantly worried about him. Everyone else in my life says that I should just forget about him and walk away. What should I do?,"Forgetting one's emotions is impossible.Since you are in a relationship with this guy, your emotions keep your feelings active toward him.Does he respect your upset with his lifestyle choices?Are the two of you having conversations about your opinions on him?You're as entitled to dislike what he does as he is to like what he does.Since you're together in a relationship, respect for the other's values and how best to live life, matters.He may be as unhappy about your dislike for his lifestyle as you are with his.Try to know whether he's willing to change to accommodate you.Study whether you're willing to change to accept his ways.See whether the two sides are close enough to be different from one another and still be happy together.Then, if the answer is ""no"", you can consider to separate from him and your emotions gradually will recuperate from leaving the relationship."
Ever since my mother passed away my family has treated me like a stranger. Now I'm concerned that my father will need to go into a nursing home. If that happens I think I'm going to be on my own to handle it.    What should I do? I'm going to need my family's help and support.,"Understandably you'd like support from those who know and love you.From what you write, your family members do not offer you your very reasonable expectation.Start by telling particular family members with whom you feel you'd have the most likely chance of success in their meeting your expectation by loving you.This way you are able to tell yourself you've tried what is reasonable to try.Don't give up on expecting loving support for yourself!If your family members are unwilling to give you this, then start to give yourself loving attention and care.Gradually you will bring yourself in contact with new others who will love you.Loving yourself makes you attractive. so others will find your willingness to be loved."
"We just cannot seem to get along. I cannot have a conversation with her without it turning into World War 3. She treats me like I have no right to an opinion and never really lets me speak. My real mother cares and tries to help me, but she can't do much, because my adoptive mother won't listen to her either.","Going to see a experience counselor would be my advice.  You will have a neutral person that can listen to both sides and help you all find a common ground of understanding.  If she doesn't agree to counseling, really the only person you can change is you.  I would suggest that you approach her with love and let her know what you appreciate about her, let her know the great things she have done that could not be replaced or forgotten however you want your relationship to get better than it has been lately.  Hopefully this will open the door of communication where you can explain your thoughts and feeling but in a loving way."
"We rent from from my boyfriend's parents. His father drops by unannounced and stays for long periods of time. He lets himself into our home when we aren't there on a daily basis and takes our dogs to his house. He picks up our mail. He has NO boundaries.    He's an opinionated, rude pushy person. He expects to spend every weekend around us, gives unsolicited advice on child rearing and does not respect our privacy at all. He barges in with no warning. He has a key and lets himself into our house without asking permission. I need help. How do I address this?","You're expecting reasonable behaviors from your boyfriend's father.Since the father is his, your boyfriend is the person in position to speak directly with his dad about the expectations you and he have of the father.If your boyfriend has a good relationship w his dad, which is not what this sounds like, then great!If your boyfriend has a stressed and tense relationship w his dad, then somehow he needs to develop or be coached and encouraged by the people in his life who truly care about and know him, a way to state the very reasonable standards you describe here.If all else fails, then a new living space is always another possibility!"
I have been dating my ex-boyfriend’s cousin for a few years. We have gotten pretty serious. He wants to cut it off because people are giving him a hard time that our kids will be related to my ex.,"Does your boyfriend agree with the other people's opinions or is the problem that he feels that doing what they want will be an easy way to stop hearing them say what he doesn't like hearing?Talk through whether he actually believes what the others are telling him or figures that complying will make them stop bothering him.Once the two of you understand what, if any, the differences are in the opinions you each have on the double relationship status, you'll be more clear whether the differences can be aligned somehow."
"My dad doesn't like the fact that I'm a boy. He yells at me daily because of it and he tells me I'm extreme and over dramatic.
   I get so depressed because of my dad's yelling. He keeps asking me why I can't just be happy the way I am and yells at me on a daily basis. Is this considered emotional abuse?","Maybe this is emotional abuse.It certainly is irritating and annoying to be yelled at for being yourself.Maybe at a time when he's not yelling you can bring up the topic of your own willingness, if this is true, to discuss questions he has about your gender.There's no guarantee he won't start yelling midway through a dialogue like this.  Only then you will be on firm ground to excuse yourself from the conversation since you already explained that you're willing to talk with him and not to be yelled at by him."
"It was over 20 years ago, but the pain has resurfaced again now because I have started seeing her Facebook posts about how great her life is. I feel so angry. How can I handle this?","Emotional pain is different from physical pain that way, isn't it? Even many years later, an old wound can be ripped open again by a small trigger.You were betrayed by two people close to you. That's a complex injury. I don't know whether you're still in the marriage or not, or whether your sister is still in your life. Perhaps not, as your contact with her seems to be through watching her facebook activity. I'm curious about why you're just now seeing her facebook posts again. Are you feeling more open lately to seeing how she's doing in her life? I guess if you were open to having your sister even in the periphery of your life again, you will have to figure out how to handle those triggers. If you can't, maybe consider unfollowing her or detaching from facebook for a while. So your sister is happy, or she at least appears happy. Your mind might go to some unhelpful places, like ""She doesn't regret the affair"" (you don't know that), ""She doesn't deserve happiness"" (that would be a harsh judgement), or ""She doesn't care that I'm hurt"" (again, there's no evidence of that). Where does your mind go? It's important to identify your worst thoughts in connection to her. When you have those worst thoughts identified, ask yourself ""What evidence supports that thought as truth?"" It's likely that either there's no evidence, or that the truth is so far from you that you can't know what she's feeling or thinking, which makes having those thoughts pretty futile.A therapist can help you determine what emotions are being triggered here. It doesn't help you and your happiness to carry around resentment, ill wishes, or the need for revenge. Forgiveness is not about saying that something was ""okay"". It's about saying ""It happened. I accept that I can't change it, and I don't want to carry the emotional burden around all the time"". Forgiveness is putting it down. She... (trust me this is true)...she carries her own burden of shame for what she did. For you to spend time feeling angry doesn't affect her burden. It only adds to yours. Can you find the tender emotion under your anger? You're hurt. Validate that hurt. Honour that hurt. Take care of that hurt. You can stay away from people who disregard your needs, and you have the power to forgive those who make mistakes out of their simple humanity if you want them in your life. If you continue to struggle, please seek the help of a professional who can assist you in navigating these waters. :)"
